name,rating,time,age,complexity,category
Aeon's End: War Eternal,8.4,60,14+,2.92,Strategy
Captain Sonar,7.6,45,14+,2.15,Party
Cosmic Encounter,7.5,60,12+,2.57,Strategy
Marvel Champions: The Card Game,8.2,45,14+,2.81,Customizable
Architects of the West Kingdom,7.8,60,12+,2.78,Strategy
Flying Hats,4.7,10,4+,1.00,Children's
Maracaibo,8.3,30,12+,3.88,Strategy
Pandemic Legacy: Season 1,8.6,60,13+,2.84,Strategy
Pandemic Legacy: Season 2,8.1,60,14+,3.25,Thematic
Chronicles of Crime,7.8,60,14+,2.10,Thematic
Descent: Journeys in the Dark (Second Edition),7.7,120,14+,3.20,Thematic
Galaxy Trucker,7.4,60,10+,2.33,Thematic
Just One,7.6,20,8+,1.06,Party
Shogun,7.5,90,12+,3.37,Strategy
Codenames,7.6,15,14+,1.29,Party
The Isle of Cats,8.0,60,8+,2.33,Family
Too Many Bones,8.4,60,12+,3.85,Strategy
It's a Wonderful World,7.9,30,14+,2.28,Strategy
Memoir '44,7.6,30,8+,2.27,Wargames
Star Wars: Imperial Assault,8.0,60,14+,3.31,Thematic
We Were Brothers,7.6,120,15+,3.36,Wargames
Le Havre,7.9,30,12+,3.74,Strategy
Caverna: The Cave Farmers,8.0,30,12+,3.79,Strategy
7,5.0,120,15+,3.11,Thematic
Tigris & Euphrates,7.7,90,12+,3.51,Strategy
Battlefield Command,0.0,Time: ––,10+,0.00,Wargames
Detective: A Modern Crime Board Game,7.9,120,16+,2.72,Thematic
Gambit,4.7,Time: ––,10+,0.00,Wargames
Flink,8.0,20,10+,2.00,Abstract
Food Chain Magnate,8.1,120,14+,4.20,Strategy
Operation October Typhoon,5.5,360,––,2.00,Wargames
Teotihuacan: City of Gods,8.0,90,14+,3.77,Strategy
Nemesis,8.4,90,12+,3.34,Thematic
Yokohama,7.9,90,14+,3.28,Strategy
Rising Sun,7.9,90,14+,3.27,Strategy
Trickerion: Legends of Illusion,7.9,60,14+,4.21,Strategy
Pacific Fleet Command,0.0,Time: ––,12+,0.00,Wargames
Power Grid,7.9,120,12+,3.27,Strategy
An Attrition of Souls,7.8,30,14+,2.50,Wargames
Village,7.5,60,12+,3.07,Strategy
Endeavor: Age of Sail,8.0,60,13+,2.80,Strategy
Champions of Midgard,7.8,60,10+,2.59,Strategy
Zingo!,5.3,5,4+,1.03,Children's
Clank! Legacy: Acquisitions Incorporated,8.8,90,13+,2.68,Thematic
The Crew: The Quest for Planet Nine,8.0,20,10+,2.00,Family
Raiders of the North Sea,7.8,60,12+,2.53,Strategy
I Am Vlad: Prince of Wallachia,4.7,120,13+,2.92,Thematic
Underwater Cities,8.1,80,12+,3.60,Strategy
Res Arcana,7.8,20,12+,2.58,Strategy
Targi,7.6,60,12+,2.36,Strategy
Codenames: Duet,7.6,15,11+,1.34,Family
Magic: The Gathering,7.5,20,13+,3.22,Customizable
Carcassonne,7.4,30,7+,1.91,Family
Terraforming Mars,8.4,120,12+,3.24,Strategy
Gloomhaven,8.8,60,14+,3.86,Strategy
Istanbul,7.6,40,10+,2.58,Strategy
Mechs vs. Minions,8.0,60,14+,2.42,Strategy
Frantic Frankfurt,5.0,10,8+,1.22,Family
Taiheiki,8.2,120,12+,1.80,Wargames
Autokrator,6.3,90,12+,2.46,Strategy
Hydra!: The Ultimate Starcruiser?,0.0,60,12+,3.00,Wargames
Xia: Legends of a Drift System,7.9,60,12+,3.17,Strategy
Puerto Rico,8.0,90,12+,3.28,Strategy
The Castles of Burgundy,8.1,30,12+,3.00,Strategy
Legendary Encounters: An Alien Deck Building Game,7.8,30,17+,2.71,Thematic
Arcadia Quest,7.7,60,13+,2.53,Thematic
Sudoku Moyo,4.6,30,––,1.90,Abstract
La Granja,7.7,90,12+,3.59,Strategy
Eclipse,7.9,60,14+,3.70,Strategy
Paths of Glory,8.1,480,14+,3.84,Wargames
+ 0,8.0,30,12+,4.00,Wargames
Crokinole,7.9,30,8+,1.26,Family
Santorini,7.5,20,8+,1.73,Abstract
Go,7.6,30,8+,4.00,Abstract
Days of Decision,6.3,360,12+,3.79,Wargames
Vinhos Deluxe Edition,8.2,60,14+,4.05,Strategy
Spirit Island,8.4,90,13+,4.01,Strategy
Star Wars: Rebellion,8.4,180,14+,3.71,Thematic
Trajan,7.8,60,12+,3.65,Strategy
Crossfire,5.3,10,7+,1.13,Children's
Sea Lion,5.9,Time: ––,12+,2.00,Wargames
Clocktowers,5.7,20,8+,1.39,Family
Suburbia,7.5,60,8+,2.77,Strategy
Century: Golem Edition,7.7,30,8+,1.66,Family
Terra Mystica,8.1,60,12+,3.96,Strategy
